CDSSYS,CDS_CPRT,,EN
PART_NBR,ACCUM_STD_TOTAL_COST
"""O"" RING-02",0
ABT 05,0
ABT 08,0
ABT 10,0
ABT 15,0
ABT 20,0
ACB 10,0
ACB 20,0
ADHESIVE01,0
AD590KF,91.51666
AD7247AQ,92.05506
AECU101.0101B01,0
AED003836-1,2.01849
AFFU100.01.AB.1,0
AFFU100-02-AB-1,0
AFFU100-02-AB1,0
AFFU100-02-AH-1,0
AFFU500-01-AL-1,0
AFFU500-02-AL-1,0
AFFU510-D-4774,0
AFFU510-01-AN-2,0
AFFU510-02-AN-1,0
AFFU510-02-AP-1,0
AFFU510-03-AN-2,0
AFFU510-03-AN-4,0
AFFU510-03-AT-2,0
AFFU510-03-AT-4,0
AFFU510-03-AT-6,0
AFFU510-04-AN-1,0
AFFU510-04-AP-5,0
AFFU510-04-AT-1,0
AFFU510-04-AT-5,0
AFFU510-05-AT-6,0
AFFU510-06-AT-1,0
AFFU600-F-4610,0
AFPU400.01.AE,0
AFPU400-02-AK,0
AFPU400-02-AL,0
AFPU410-Q-4640,0
AFPU420-01-AA,0
AS20644,2.34221
A1EMODKIT,0.39211
A1EMODKIT3,3.3638
A103AT,0.64794
A103DT,0.07242
A105AT,0.91151
A105BP,0.58018
A117-13A,2.7455
A125B77,2.37211
A126A77,1.6473
