CDSSYS,CDS_OORD,,EN
PART_NBR,PLAN_RECV_DATE,QTY_RECVD
77879240,2015-04-24,15
KDCA547,2001-06-06,0
77067630,2007-09-27,0
86620426,2010-04-30,10
86628234,2001-07-04,0
KDCA727,2001-12-31,0
86623826,2000-10-03,300
77769341,2001-08-14,0
KDCA383,2001-06-06,0
SB16-45M-B,2001-11-07,30
86603043,2001-05-29,20
86603073,2001-05-21,30
GTS1509,2001-09-11,1
GTS1959-4,2001-10-19,0
86600194,2001-08-03,65
86600194,2001-09-07,0
86600194,2001-10-05,0
86600194,2001-11-02,0
86628702,2001-10-01,50
40-566-9286-82E,2001-11-07,60
GTS2570-2,2001-07-02,4
86623826,2001-04-09,0
86623826,2001-05-04,0
KDCA518,2001-05-04,21
86623826,2001-01-05,0
86623826,2001-02-07,0
86623826,2001-03-07,0
KDCC798,2001-09-06,0
KDCC798,2001-10-05,0
86621314,2001-06-08,0
86621314,2001-07-06,0
77763336,2001-10-05,0
77768927,2002-04-05,30
77762537,2001-06-08,0
77067630,2007-07-26,0
77156977,2014-12-15,4
77762537,2001-07-06,0
77762537,2001-08-03,0
77762537,2001-10-05,0
86625566,2001-07-06,6
77762537,2001-11-09,0
GTS1051-1,2001-09-03,100
GTS1109,2001-06-04,2000
GTS1109,2001-08-06,2000
77855534,2001-05-04,100
77855534,2001-07-09,100
GTS1109,2001-07-02,1000
77855535,2001-07-09,100
77855534,2001-09-10,100
77855532,2001-05-14,100
