PART_NBR,PART_DESC,PART_TYPE,INV_UM,LEAD_TIME,QTY_ON_HAND,QTY_ALLOCATED,USER_FIELD_1,PLND_PRD_MOVE_AVG
"""O"" RING-02","4"" FOR INTEGRA FILTER (G0",P,EA,31,0,0,Y-ARCHIVE,0
ABT 05,AUTO BANDING TOOL(127163-,P,EA,991,0,0,Y-ARCHIVE,0
ABT 08,AUTO BONDING TOOL(127153-,P,EA,991,0,0,Y-ARCHIVE,0
ABT 10,AUTO BONDING TOOL(127153-,P,EA,991,0,0,Y-ARCHIVE,0
ABT 15,AUTO BONDING TOOL(127153-,P,EA,991,0,0,Y-ARCHIVE,0
ABT 20,AUTO BONDING TOOL(127153-,P,EA,991,0,0,Y-ARCHIVE,0
ACB 10,AUTO CUTTER BLADE(168054-,P,EA,991,0,0,Y-ARCHIVE,0
ACB 20,AUTO CUTTER BLADE(168054-,P,EA,991,0,0,Y-ARCHIVE,0
ADHESIVE01,DYMAX 912-Adhesive,P,EA,990,0,0,Y-ARCHIVE,0
AD590KF,Sensor,P,EA,991,0,0,Y-ARCHIVE,0
AD7247AQ,IC,P,EA,991,0,0,Y-ARCHIVE,0
AECU101.0101B01,AUXILLARY/EMERGENCY CTRL,M,EA,0,0,0,Y-MT,0
AED003836-1,IC CD4007UBF HARRIS,P,EA,990,0,0,Y-ARCHIVE,0
AFFU100.01.AB.1,RRC FADEC,M,EA,0,0,0,Y-MT,0
AFFU100-02-AB-1,RRC FADEC,M,EA,8,0,0,Y-MT,0
AFFU100-02-AB1,FADEC,M,EA,8,0,0,Y-MT,0
AFFU100-02-AH-1,RRC FADEC,M,EA,8,0,0,Y-MT,0
AFFU500-01-AL-1,RRC FADEC,M,EA,0,0,0,Y-MT,0
AFFU500-02-AL-1,RRC FADEC,M,EA,0,0,0,Y-MT,0
AFFU510-D-4774,RRC FADEC,M,EA,10,0,0,Y-MT,0
AFFU510-01-AN-2,FADEC,M,EA,10,0,0,Y-MT,0
AFFU510-02-AN-1,RRC FADEC,M,EA,0,0,0,Y-MT,0
AFFU510-02-AP-1,RRC FADEC,M,EA,0,0,0,Y-MT,0
AFFU510-03-AN-2,RRC FADEC,M,EA,0,0,0,Y-MT,0
AFFU510-03-AN-4,RRC FADEC,M,EA,10,0,0,Y-MT,0
AFFU510-03-AT-2,RRC FADEC,M,EA,0,0,0,Y-MT,0
AFFU510-03-AT-4,RRC FADEC,M,EA,10,0,0,Y-MT,0
AFFU510-03-AT-6,RRC FADEC,M,EA,0,0,0,Y-MT,0
AFFU510-04-AN-1,RRC FADEC,M,EA,0,0,0,Y-MT,0
AFFU510-04-AP-5,RRC FADEC,M,EA,10,0,0,Y-MT,0
AFFU510-04-AT-1,RRC FADEC,M,EA,0,0,0,Y-MT,0
AFFU510-04-AT-5,RRC FADEC,M,EA,10,0,0,Y-MT,0
AFFU510-05-AT-6,RRC FADEC,M,EA,0,0,0,Y-MT,0
AFFU510-06-AT-1,RRC FADEC,M,EA,0,0,0,Y-MT,0
AFFU600-F-4610,RRC FADEC,M,EA,8,0,0,Y-MT,0
AFPU400.01.AE,RRC FADEC PROPELLER UNIT,M,EA,0,0,0,Y-MT,0
AFPU400-02-AK,RRC FADEC PROPELLER UNIT,M,EA,10,0,0,Y-MT,0
AFPU400-02-AL,RRC FADEC PROPELLER UNIT,M,EA,10,0,0,Y-MT,0
AFPU410-Q-4640,RRC FADEC,M,EA,10,0,0,Y-MT,0
AFPU420-01-AA,RRC FADEC,M,EA,10,0,0,Y-MT,0
AS20644,PIN,P,EA,60,0,0,SSPUMP,0
A1EMODKIT,AE3007A1E A06 CARD,M,EA,10,0,0,Y-MT,0
A1EMODKIT3,AE3007A1E A03 CARD,M,EA,10,0,0,Y-MT,0
A103AT,NUT,P,EA,990,0,0,Y-MT,0
A103DT,HEX NUT,P,EA,990,0,0,Y-ARCHIVE,0
A105AT,NUT THIN,P,EA,100,200,14,Y-MT,0
A105BP,NUT PLAIN,P,EA,991,0,0,Y-ARCHIVE,0
A117-13A,SCREW PAN HD.4-40UNC,P,EA,84,0,0,Y-MT,0
A125B77,STIFFNUT 6X32UNC,P,EA,60,228,1,Y-MT,0
A126A77,STIFFNUT 4X40UNC,P,EA,120,1190,129,Y-MT,0
A126B77,STIFFNUT 6X32UNC,P,EA,991,0,0,Y-ARCHIVE,0
A126C77,STIFFNUT 8X32UNC,P,EA,991,0,0,Y-ARCHIVE,0
A126D77,STIFFNUT 10X32UNC,P,EA,100,156,4,Y-MT,0
A127A77,STIFFNUT 4X40UNC,P,EA,90,20,20,Y-MT,0
A181A66,STIFFNUT 4X40UNC,P,EA,90,892,275,Y-MT,0
A181B66,STIFFNUT 6X32UNC,P,EA,130,3,7,Y-MT,0
A181C66,STIFFNUT 8X32UNC,P,EA,85,46,18,Y-MT,0
A204A8,C/SK HD SCREW 4X40UNC,P,EA,991,0,0,Y-ARCHIVE,0
A206A13,C/SKSCREW STEEL,P,EA,990,0,0,Y-ARCHIVE,0
A206A16,SCREW,P,EA,51,0,0,Y-MT,0
A206A27,SCREW CSK 4X40 UNC,P,EA,991,0,0,Y-ARCHIVE,0
A206B14,SCREW SLOT CSK HD 6-32 un,P,EA,991,0,0,Y-ARCHIVE,0
A218A10,SCREW PAN HD 4X40UNC,P,EA,80,0,0,Y-ARCHIVE,0
A218A11,SCREW PAN HD 4-40UNC,P,EA,80,0,0,Y-MT,0
A218A12,SCREW PAN HD 4X40UNC,P,EA,990,0,0,Y-MT,0
A218A13,SCREW PAN HD,P,EA,990,0,0,Y-ARCHIVE,0
A218A14,SCREW PAN HD 4X40UNC,P,EA,35,0,0,Y-MT,0
A218A15,SCREW PAN HD 4X40UNC,P,EA,84,0,0,Y-MT,0
A218A16,SCREW PAN HD.4-40UNC,P,EA,25,0,0,Y-MT,0
A218A18,SCREW PAN HD.4-40UNC,P,EA,20,0,0,Y-ARCHIVE,0
A218A20,SCREW PAN HD 4X40UNC,P,EA,990,0,0,Y-ARCHIVE,0
A218A30,SCREW PAN HD.4-40UNC,P,EA,990,0,0,Y-ARCHIVE,0
A218A8,PAN HEAD SCREW        B/O,P,EA,30,0,0,SSPUMP,0
A218A9,SCREW PAN HD,P,EA,990,0,0,Y-ARCHIVE,0
A218B12,SCREW PAN HD 6X32UNC,P,EA,990,0,0,Y-ARCHIVE,0
A218B15,SCREW,P,EA,60,0,0,Y-ARCHIVE,0
A218B20,SCREW PAN HD 6X32UNC,P,EA,80,0,0,Y-ARCHIVE,0
A218B22,SCREW PAN HD 6X32UNC,P,EA,40,0,0,Y-ARCHIVE,0
A218B32,SCREW PAN HEAD NO6 32UNC,P,EA,991,0,0,Y-ARCHIVE,0
A218C18,SCREW PAN HD 8X32UNJC,P,EA,70,29,16,Y-MT,0
A218D16,SCREW PAN HD 10X32UNF,P,EA,140,0,0,Y-ARCHIVE,0
A218Z10,SCREW PAN HD 2X64UNF,P,EA,40,0,0,Y-MT,0
A218Z16,SCREW,P,EA,31,0,0,Y-MT,0
A218Z26,SCREW PAN HD 2X64 UNF,P,EA,991,0,0,Y-ARCHIVE,0
A222Z,NUT,P,EA,90,661,98,Y-MT,0
A223Z,NUT HEX 2X64UNF,P,EA,90,267,286,Y-MT,0
A445-168,Pure Nickel Wire(Polyuret,P,RL,990,0,0,Y-ARCHIVE,0
BBOX500-D-4673,BUFFER BOX,M,EA,8,0,0,Y-CCB-PIM,0
BBOX500-D-4702,BUFFER BOX,M,EA,8,0,0,Y-CCB-PIM,0
BBOX500-D-4705,BUFFER BOX,M,EA,8,0,0,Y-CCB-PIM,0
BBOX500-D-4710,BUFFER BOX,M,EA,8,0,0,Y-CCB-PIM,0
BCP1279,LABEL,P,EA,991,0,0,Y-ARCHIVE,0
BCP1399-2,SPACER,P,EA,991,0,0,Y-ARCHIVE,0
BCP1905-1,RELAY (TE0011-1),P,EA,100,0,0,Y-MT,0
BOXLABEL,SELF ADHESIVE LABEL,P,EA,991,0,0,Y-ARCHIVE,0
BR502C105KNA,Capacitor,P,EA,91,0,0,Y-ARCHIVE,0
BR710KIT2,MOD KIT FOR BR710,M,EA,10,0,0,Y-MT,0
BSG210A0712-9,"WIRE ELEC,7/0.125mm PTFE",P,ME,991,0,0,Y-ARCHIVE,0
BS4393-0.559MM,WIRE ELEC 0.559mm Dia,P,RL,991,0,0,Y-ARCHIVE,0
BUS25679,TRANSFORMER,P,EA,991,0,0,Y-ARCHIVE,0
